Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0805,2,10uF,C440198
C10,0805,1,10uF,C440198 
"C11, C12, C6, C7, C8, C9",0603,6,100nF,C14663
"C3, C4",0603,2,20pF,C91702
C5,0603,1,100nF,C105621
"D1, D2",0603,2,LED,C2290
D3,0603,1,LED,C2286
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0,C165948
"R1, R2",0603,2,4K7,C23162
"R10, R4, R8, R9",0603,4,1K,C21190
R3,0805,1,R,
R5,0603,1,5k1,
R6,0603,1,10K,C25804
R7,0805,1,dnp,
SCL1,Measurement_Point_Round-SMD-Pad_Small,1,SCL1,
SDA1,Measurement_Point_Round-SMD-Pad_Small,1,SDA1,
U1,SOT-89-3,1,ME6210A33PG,C85233
U2,LQFP-48_7x7mm_P0.5mm,1,STM32F072C8Tx,C80488
U3,SOIC-8_3.9x4.9mm_P1.27mm,1,TJA1051/3,C51484082
"W1, W2",Measurement_Point_Round-SMD-Pad_Big,2,TEST_1P,
"W3, W4, W5, W6, W7, W8",Measurement_Point_Round-SMD-Pad_Small,6,TEST_1P,
X1,Tag-Connect_TC2030-IDC-NL_2x03_P1.27mm_Vertical,1,CON_SWD,
X2,DB9M_CI,1,SUB-D9,
Y1,Crystal_SMD_Abracon_ABM3-2Pin_5.0x3.2mm,1,8MHz,C144380
